"Local.Date","Participant.Private.ID","Task.Name","Question.Key","Response","ID","Condition","Test","Day"
"14/02/2022 20:24:36",5769634,"VAS-f-1","0",10,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","1",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","2",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","3",6,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","4",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","5",6,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","6",3,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","7",3,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","8",3,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","9",1,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","10",6,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","11",1,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","12",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","13",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","0-quantised",11,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","1-quantised",8,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","2-quantised",8,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","3-quantised",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","4-quantised",8,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","5-quantised",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","6-quantised",4,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","7-quantised",4,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","8-quantised",4,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","9-quantised",2,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","10-quantised",7,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","11-quantised",2,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","12-quantised",8,"1","LCL",1,1
"14/02/2022 20:24:36",5769634,"VAS-f-1","13-quantised",8,"1","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","0",8,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","1",3,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","2",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","3",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","4",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","5",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","6",3,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","7",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","8",3,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","9",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","10",6,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","11",3,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","12",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","13",7,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","0-quantised",9,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","1-quantised",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","2-quantised",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","3-quantised",6,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","4-quantised",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","5-quantised",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","6-quantised",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","7-quantised",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","8-quantised",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","9-quantised",6,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","10-quantised",7,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","11-quantised",4,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","12-quantised",5,"2","LCL",1,1
"16/02/2022 10:32:54",5785034,"VAS-f-1","13-quantised",8,"2","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","0",8,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","1",5,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","2",3,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","3",2,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","4",2,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","5",1,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","6",1,"3","LCL",1,1
"19/03/2022 14:45:54",6094733,"VAS-f-1","7",0,"3","LCL",1,1
